No,部屋名,X座標,Y座標,radius,イベント順序,イベント名,イベント本文,選択肢１名称,選択肢１本文（結果）,選択肢１経過時間,選択肢２名称,選択肢２本文（結果）,選択肢２経過時間,選択肢３名称,選択肢３本文（結果）,選択肢３経過時間,選択肢４名称,選択肢４本文（結果）,選択肢４経過時間,4M+E分類,重要度(SABC),ファクター,推奨対応時間(目安),5分以上,選択肢１点数,選択肢１重み付きスコア,選択肢２点数,選択肢２重み付きスコア,選択肢３点数,選択肢３重み付きスコア,選択肢４点数,選択肢４重み付きスコア
1,受付１,540,366,5,1,受付カウンター崩壊,受付用の電子カルテが倒れている,元に戻す,とりあえず整える,2,通路確保だけする,通路だけ確保,1,電源をつける,付かない。ケーブル損傷か？,2,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
2,受付１,540,366,5,2,スプリンクラーの故障,スプリンクラーの故障で水放出,迂回誘導,濡れ・冷え防止。,3,バケツ置く,すぐにいっぱいになる,2,元栓探す,不明。,10,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
3,第一撮影室,504,394,10,1,FPDの保全,FPDが床に落ちている。,壁際に寄せる,最小限の動作で破損リスクを下げた。,1,抱えて持ち歩く,重くて避難の妨げになり、結局落とす。,5,元の場所に戻す,余震で再度落下し、使用不能となる,1,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Machine (設備・機械),C,1,120分以降 (安定期),〇,5,5,4,4,5,5,3,3
4,第一撮影室,504,394,10,2,高電圧ケーブル垂下,発生器から太いケーブルが外れ、ぶら下がっている。,触らず大きく迂回,感電リスクを回避し退室。,2,棒でのける,絶縁体でなかったため感電。【死亡】,60,避けて通る,余震でケーブルが暴れ頭部直撃。,60,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
5,ポータブル保管庫,496,448,10,1,天井パネル落下,ポータブル装置周囲に天井パネルが散乱している,損傷の確認,周囲の確認を行った,1,電源が付くか確認する,電源の確認。起動した,1,テスト照射,照射可能,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
6,ポータブル保管庫,496,488,10,2,ポータブルPCの破損,ポータブル用のPCが落下している。,電源をつけてみる,電源が付いてもすぐ消える。,1,USBコネクターの確認,コネクターが曲がっておりUSB端子が一つ使わない。,1,電源ケーブルの確認,抜けている。赤コンセントに接続,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
7,第一撮影室操作室,475,442,10,1,患者のパニック,遠くで患者が『怖い、誰か』と叫んでいる。,頭を守ってととりあえず叫ぶ,視認できないのでとりあえず声をかける,1,「落ち着いて」と叫ぶ,声が届かず、周りの騒音で聞こえていない,5,一人で逃げる,患者が見捨てられ、後に懲戒へ。,1,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Man (人),S,10,0-5分 (即時),〇,5,50,4,40,5,50,0,0
8,スタッフ控室,400,392,10,1,災害ボックスの発見,コンテナボックスがあることを確認した。,中身を全部取り出す。,とりあえず一式を確認し、対応マニュアルを取り出した,3,マニュアルとチェックリスト取り出す。,対応手順を確認した。,1,安全な場所へ移動させて確認する。,安全を確認したのちにマニュアル、チェックリストを取り出した,4,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Method (方法・手順),A,4,15分以内 (初動),,,,,,,,,
9,スタッフ控室,400,392,10,2,ロッカーの傾き,いまにも倒れてきそう。,近づかない,下敷き回避。,1,ロッカーと床との間につかえそうなものがありそう,ロッカーに触れた直後に倒れて手が床とロッカーの間に挟まり損傷,8,そこ以外を探索して使用できるものを探す,何もなかった,4,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,Machine (設備・機械),B,4,60分以内 (二次),,,,,,,,,
10,スタッフ控室,400,392,10,3,床に落ちている黒い物体,トランシーバーが転がっている,電源をつける,電源が付くことを確認した,1,赤コンセントで充電する。,コンセントの位置を確認して安全な箇所にさした,2,トランシーバーで更新を試みる,誰も応答しない,2,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Environment (環境),B,4,60分以内 (二次),,,,,,,,,
11,読影室２,349,450,10,1,ケトル転倒,熱湯がこぼれている。,近づかない,火傷防止。,1,拭く,湯をわかしたままであったことで軽いやけどを負う,3,コンセントを抜く,漏電防止,0,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
12,読影室２,349,450,10,2,棚の転倒,本が崩れている。,整頓してスペース確保,怪我人収容場所。,2,寝る,サボり。余震発生時の火災、漏電リスクが高くなる,10,使えるものを探す,なにもなかった,5,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,,,,,,,,,,,,,
13,スタッフ更衣室,282,412,10,1,棚からものが散乱,棚から固定具が全て落ちており、棚が４５度で倒れている,棚をおこす,触った瞬間に倒れてしまい、足を巻き込んだ,8,テープを探して進入禁止,危ないので予防措置を実施した。,2,使えそうなものを探す,ぎりぎり大丈夫であったが、次の余震で倒れるだろう,3,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Method (方法・手順),B,4,60分以内 (二次),〇,3,12,5,20,4,16,3,3
14,スタッフ更衣室,282,412,10,2,食料の確保,非常食がロッカーにある。,ポケットに入れる,長期戦に備えた。,1,その場で食べる,喉が渇き、水が欲しくなる。,5,全部カバンに詰める,重くて動けなくなる。,3,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Material（材料・モノ）,B,4,60分以内 (二次),〇,5,20,4,16,4,16,3,3
15,第二透視室操作室,259,426,10,1,付いていたはずの電源が消えている,電源をつけて点検を行う,通常手順で電源をつける,付かない。（通電されていない）,3,ブレーカーを落とす,漏電防止としていったんブレーカーを落とす,1,マニュアルを探して対応する,呼んで該当箇所を探すのに時間がかかった,5,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Machine (設備・機械),B,4,60分以内 (二次),〇,4,16,5,20,4,16,3,3
16,第二透視室操作室,259,426,10,2,ラックが倒れている。,ラックが倒れており、プロテクターが散乱している,通路を確保する分のみ片付ける,最低限の確保,1,元の状態に戻す,それなりに時間がかかった。,3,プロテクターをつけて行動,体は重くなるが防護力UP,1,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Environment (環境),C,1,120分以降 (安定期),,,,,,,,,
